ID,duration,wav,spk_id,prediction,reference
21,2550.0,TORGO/MC01/Session2/wav_arrayMic/0244.wav,MC01,toe,toe
22,2400.0,TORGO/MC01/Session2/wav_arrayMic/0127.wav,MC01,singh,sing
23,4800.0,TORGO/MC01/Session2/wav_arrayMic/0222.wav,MC01,barb's gold bracelet with a graduation present,barb's gold bracelet was a graduation present
24,2250.0,TORGO/MC01/Session2/wav_arrayMic/0107.wav,MC01,not,knot
25,3750.0,TORGO/MC01/Session2/wav_arrayMic/0045.wav,MC01,i expect we'll bounce back this week,i expect we'll bounce back this week
26,3600.0,TORGO/MC01/Session2/wav_arrayMic/0132.wav,MC01,then we'd really have some place to go,then we'd really have someplace to go
27,3900.0,TORGO/MC01/Session2/wav_arrayMic/0145.wav,MC01,tango,tango
28,1950.0,TORGO/MC01/Session2/wav_arrayMic/0281.wav,MC01,yes,geese
29,2400.0,TORGO/MC01/Session2/wav_arrayMic/0194.wav,MC01,so,sew
30,2700.0,TORGO/MC01/Session2/wav_arrayMic/0082.wav,MC01,ten,tin
31,1950.0,TORGO/MC01/Session2/wav_arrayMic/0210.wav,MC01,giz,geese
32,1800.0,TORGO/MC01/Session2/wav_arrayMic/0040.wav,MC01,dart,dart
33,1950.0,TORGO/MC01/Session2/wav_arrayMic/0212.wav,MC01,fort,fort
34,2100.0,TORGO/MC01/Session2/wav_arrayMic/0103.wav,MC01,four,four
35,1950.0,TORGO/MC01/Session2/wav_arrayMic/0076.wav,MC01,ticker,ticker
36,1950.0,TORGO/MC01/Session2/wav_arrayMic/0020.wav,MC01,heating,pitting
37,4050.0,TORGO/MC01/Session2/wav_arrayMic/0117.wav,MC01,you want him to do well,you want him to do well
38,1500.0,TORGO/MC01/Session2/wav_arrayMic/0033.wav,MC01,cart,cart
39,3600.0,TORGO/MC01/Session2/wav_arrayMic/0286.wav,MC01,she doesn't like to have it hanging around,she doesn't like to have it hanging around
40,1800.0,TORGO/MC01/Session2/wav_arrayMic/0205.wav,MC01,bill,bill
41,1650.0,TORGO/MC01/Session2/wav_arrayMic/0199.wav,MC01,court,quart
42,2550.0,TORGO/MC01/Session2/wav_arrayMic/0181.wav,MC01,night,night
43,3000.0,TORGO/MC01/Session2/wav_arrayMic/0355.wav,MC01,it was very popular with our fans,it was very popular with our fans
44,4650.0,TORGO/MC01/Session2/wav_arrayMic/0209.wav,MC01,young people participate in athletic activities,young people participate in athletic activities
45,2100.0,TORGO/MC01/Session2/wav_arrayMic/0152.wav,MC01,sicker,sicker
46,1500.0,TORGO/MC01/Session2/wav_arrayMic/0354.wav,MC01,three,three
47,1650.0,TORGO/MC01/Session2/wav_arrayMic/0274.wav,MC01,pork,fork
48,1650.0,TORGO/MC01/Session2/wav_arrayMic/0248.wav,MC01,rake,rake
49,4200.0,TORGO/MC01/Session2/wav_arrayMic/0312.wav,MC01,there is definitely some ligament damage in his knee,there is definitely some ligament damage in his knee
50,1800.0,TORGO/MC01/Session2/wav_arrayMic/0007.wav,MC01,city,city
51,4050.0,TORGO/MC01/Session2/wav_arrayMic/0024.wav,MC01,carl lives in a lively home,carl lives in a lively home
52,2700.0,TORGO/MC01/Session2/wav_arrayMic/0051.wav,MC01,hitting,hitting
53,2100.0,TORGO/MC01/Session2/wav_arrayMic/0216.wav,MC01,weep,weep
54,3150.0,TORGO/MC01/Session2/wav_arrayMic/0111.wav,MC01,please open the window quickly,please open the window quickly
55,2100.0,TORGO/MC01/Session2/wav_arrayMic/0338.wav,MC01,beat,feet
56,2100.0,TORGO/MC01/Session2/wav_arrayMic/0131.wav,MC01,sit,sit
57,2400.0,TORGO/MC01/Session2/wav_arrayMic/0043.wav,MC01,brawn,brawn
58,1950.0,TORGO/MC01/Session2/wav_arrayMic/0160.wav,MC01,walk,walk
59,1350.0,TORGO/MC01/Session2/wav_arrayMic/0004.wav,MC01,park,hark
60,5100.0,TORGO/MC01/Session2/wav_arrayMic/0305.wav,MC01,only the most accomplished artists obtained popularity,only the most accomplished artists obtain popularity
61,2850.0,TORGO/MC01/Session2/wav_arrayMic/0344.wav,MC01,they will take a wedding trip later,they will take a wedding trip later
62,3450.0,TORGO/MC01/Session2/wav_arrayMic/0172.wav,MC01,i've kept it with me ever since,i've kept it with me ever since
63,1650.0,TORGO/MC01/Session2/wav_arrayMic/0013.wav,MC01,league,league
64,1650.0,TORGO/MC01/Session2/wav_arrayMic/0003.wav,MC01,him,him
65,2100.0,TORGO/MC01/Session2/wav_arrayMic/0092.wav,MC01,shoot,shoot
66,1800.0,TORGO/MC01/Session2/wav_arrayMic/0202.wav,MC01,sort,sort
67,1950.0,TORGO/MC01/Session2/wav_arrayMic/0260.wav,MC01,yes,gas
68,4350.0,TORGO/MC01/Session2/wav_arrayMic/0237.wav,MC01,trespassers can be prosecuted and fined,trespassers can be prosecuted and fined
69,2850.0,TORGO/MC01/Session2/wav_arrayMic/0169.wav,MC01,hand,hand
70,3750.0,TORGO/MC01/Session2/wav_arrayMic/0266.wav,MC01,there was only one decision to be made,there was only one decision to be made
71,2250.0,TORGO/MC01/Session2/wav_arrayMic/0226.wav,MC01,doug,dug
72,3450.0,TORGO/MC01/Session2/wav_arrayMic/0357.wav,MC01,mom strongly dislikes appetizers,mom strongly dislikes appetizers
73,1200.0,TORGO/MC01/Session2/wav_arrayMic/0135.wav,MC01,glitter,glitter
74,2100.0,TORGO/MC01/Session2/wav_arrayMic/0316.wav,MC01,red,red
75,1650.0,TORGO/MC01/Session2/wav_arrayMic/0342.wav,MC01,seven,seven
76,4800.0,TORGO/MC01/Session2/wav_arrayMic/0006.wav,MC01,night after night they received annoying phone calls,night after night they received annoying phone calls
77,2400.0,TORGO/MC01/Session2/wav_arrayMic/0119.wav,MC01,dread,dread
78,2100.0,TORGO/MC01/Session2/wav_arrayMic/0023.wav,MC01,pretty,pretty
79,1950.0,TORGO/MC01/Session2/wav_arrayMic/0315.wav,MC01,reed,read
80,1650.0,TORGO/MC01/Session2/wav_arrayMic/0105.wav,MC01,whit,wit
81,1950.0,TORGO/MC01/Session2/wav_arrayMic/0254.wav,MC01,code,coat
82,2100.0,TORGO/MC01/Session2/wav_arrayMic/0061.wav,MC01,yes,yes
83,2100.0,TORGO/MC01/Session2/wav_arrayMic/0225.wav,MC01,forward,forward
84,2100.0,TORGO/MC01/Session2/wav_arrayMic/0186.wav,MC01,heat,heat
85,3750.0,TORGO/MC01/Session2/wav_arrayMic/0066.wav,MC01,this is a good place though small,this is a good place though small
86,2100.0,TORGO/MC01/Session2/wav_arrayMic/0240.wav,MC01,air,air
87,1950.0,TORGO/MC01/Session2/wav_arrayMic/0158.wav,MC01,clicker,flicker
88,4650.0,TORGO/MC01/Session2/wav_arrayMic/0243.wav,MC01,in fact our whole defensive unit did a good job,in fact our whole defensive unit did a good job
89,2100.0,TORGO/MC01/Session2/wav_arrayMic/0164.wav,MC01,liquor,liquor
90,1950.0,TORGO/MC01/Session2/wav_arrayMic/0093.wav,MC01,ship,ship
91,4350.0,TORGO/MC01/Session2/wav_arrayMic/0086.wav,MC01,it's fun to roast marshmallows on a gas burner,it's fun to roast marshmallows on a gas burner
92,1950.0,TORGO/MC01/Session2/wav_arrayMic/0290.wav,MC01,bill,bill
93,1800.0,TORGO/MC01/Session2/wav_arrayMic/0327.wav,MC01,member,member
94,2400.0,TORGO/MC01/Session2/wav_arrayMic/0340.wav,MC01,giz,geese
95,1500.0,TORGO/MC01/Session2/wav_arrayMic/0031.wav,MC01,five,five
96,3000.0,TORGO/MC01/Session2/wav_arrayMic/0112.wav,MC01,he took me out one day,he took me out one day
97,2400.0,TORGO/MC01/Session2/wav_arrayMic/0085.wav,MC01,and,ham
98,1800.0,TORGO/MC01/Session2/wav_arrayMic/0330.wav,MC01,zero,zero
99,1800.0,TORGO/MC01/Session2/wav_arrayMic/0304.wav,MC01,cash,cash
100,3750.0,TORGO/MC01/Session2/wav_arrayMic/0313.wav,MC01,don't do charlie's dirty dishes,don't do charlie's dirty dishes
101,2100.0,TORGO/MC01/Session2/wav_arrayMic/0283.wav,MC01,snort,snort
102,3600.0,TORGO/MC01/Session2/wav_arrayMic/0285.wav,MC01,that's what life is really all about,that's what life is really all about
103,2250.0,TORGO/MC01/Session2/wav_arrayMic/0153.wav,MC01,not,knot
104,2250.0,TORGO/MC01/Session2/wav_arrayMic/0337.wav,MC01,eight,eight
106,3900.0,TORGO/MC01/Session2/wav_arrayMic/0265.wav,MC01,critical equipment needs proper maintenance,critical equipment needs proper maintenance
107,3600.0,TORGO/MC01/Session2/wav_arrayMic/0014.wav,MC01,we rode horseback to the farm,we rode horseback to the farm
108,2400.0,TORGO/MC01/Session2/wav_arrayMic/0125.wav,MC01,lock,lock
109,3750.0,TORGO/MC01/Session2/wav_arrayMic/0091.wav,MC01,help greg to pick a pack of potatoes,help greg to pick a peck of potatoes
110,1650.0,TORGO/MC01/Session2/wav_arrayMic/0048.wav,MC01,kitten,kitten
112,3300.0,TORGO/MC01/Session2/wav_arrayMic/0039.wav,MC01,this is a period of transition for me,this is a period of transition for me
113,2400.0,TORGO/MC01/Session2/wav_arrayMic/0235.wav,MC01,cheer,cheer
114,4350.0,TORGO/MC01/Session2/wav_arrayMic/0025.wav,MC01,this is not a program of socialized medicine,this is not a program of socialized medicine
115,2250.0,TORGO/MC01/Session2/wav_arrayMic/0146.wav,MC01,him,him
116,2250.0,TORGO/MC01/Session2/wav_arrayMic/0084.wav,MC01,nod,nod
117,2250.0,TORGO/MC01/Session2/wav_arrayMic/0011.wav,MC01,bit,bit
118,3150.0,TORGO/MC01/Session2/wav_arrayMic/0096.wav,MC01,only lawyers love millionaires,only lawyers love millionaires
119,1950.0,TORGO/MC01/Session2/wav_arrayMic/0267.wav,MC01,side,side
120,3450.0,TORGO/MC01/Session2/wav_arrayMic/0236.wav,MC01,the fish swam across the pond,the fish swam across the pond
121,2250.0,TORGO/MC01/Session2/wav_arrayMic/0218.wav,MC01,red,dread
122,3450.0,TORGO/MC01/Session2/wav_arrayMic/0261.wav,MC01,suddenly my reflexes are gone,suddenly my reflexes are gone
123,1500.0,TORGO/MC01/Session2/wav_arrayMic/0002.wav,MC01,much,much
124,1950.0,TORGO/MC01/Session2/wav_arrayMic/0271.wav,MC01,right,write
125,1500.0,TORGO/MC01/Session2/wav_arrayMic/0138.wav,MC01,bread,bread
126,2100.0,TORGO/MC01/Session2/wav_arrayMic/0168.wav,MC01,yankee,yankee
127,1950.0,TORGO/MC01/Session2/wav_arrayMic/0318.wav,MC01,goat,goat
128,2100.0,TORGO/MC01/Session2/wav_arrayMic/0320.wav,MC01,tack,back
129,2250.0,TORGO/MC01/Session2/wav_arrayMic/0203.wav,MC01,shane,shin
130,1800.0,TORGO/MC01/Session2/wav_arrayMic/0233.wav,MC01,yes,yes
131,2100.0,TORGO/MC01/Session2/wav_arrayMic/0087.wav,MC01,cress,dress
132,3900.0,TORGO/MC01/Session2/wav_arrayMic/0030.wav,MC01,both injuries were to the same leg,both injuries were to the same leg
133,1950.0,TORGO/MC01/Session2/wav_arrayMic/0297.wav,MC01,cork,cork
134,2250.0,TORGO/MC01/Session2/wav_arrayMic/0029.wav,MC01,parsed,part
135,1350.0,TORGO/MC01/Session2/wav_arrayMic/0147.wav,MC01,said,said
136,2400.0,TORGO/MC01/Session2/wav_arrayMic/0239.wav,MC01,ship,ship
137,3300.0,TORGO/MC01/Session2/wav_arrayMic/0081.wav,MC01,the hotel owner shrugged,the hotel owner shrugged
138,2100.0,TORGO/MC01/Session2/wav_arrayMic/0227.wav,MC01,c,see
139,1200.0,TORGO/MC01/Session2/wav_arrayMic/0032.wav,MC01,fitting,fitting
141,2250.0,TORGO/MC01/Session2/wav_arrayMic/0207.wav,MC01,rake,rake
142,4050.0,TORGO/MC01/Session2/wav_arrayMic/0038.wav,MC01,this is a period of transition for me,this is a period of transition for me
143,2400.0,TORGO/MC01/Session2/wav_arrayMic/0182.wav,MC01,bill,bill
144,1500.0,TORGO/MC01/Session2/wav_arrayMic/0245.wav,MC01,oh,old
145,3450.0,TORGO/MC01/Session2/wav_arrayMic/0151.wav,MC01,he is definitely a nudge above us,he is definitely a notch above us
146,3000.0,TORGO/MC01/Session2/wav_arrayMic/0088.wav,MC01,you can ride stage coach,you can ride stagecoach
147,1650.0,TORGO/MC01/Session2/wav_arrayMic/0329.wav,MC01,four,four
148,3150.0,TORGO/MC01/Session2/wav_arrayMic/0324.wav,MC01,i loved every minute of it,i loved every minute of it
149,2550.0,TORGO/MC01/Session2/wav_arrayMic/0069.wav,MC01,uniform,uniform
150,2100.0,TORGO/MC01/Session2/wav_arrayMic/0325.wav,MC01,we have a big house,we have a big house
151,1650.0,TORGO/MC01/Session2/wav_arrayMic/0326.wav,MC01,six,six
152,2400.0,TORGO/MC01/Session2/wav_arrayMic/0242.wav,MC01,shoot,shoot
153,3900.0,TORGO/MC01/Session2/wav_arrayMic/0167.wav,MC01,we bought a brown chair,we bought a brown chair
154,1800.0,TORGO/MC01/Session2/wav_arrayMic/0198.wav,MC01,bend,bend
155,2400.0,TORGO/MC01/Session2/wav_arrayMic/0177.wav,MC01,z,said
156,1800.0,TORGO/MC01/Session2/wav_arrayMic/0036.wav,MC01,bloat,bloat
157,1950.0,TORGO/MC01/Session2/wav_arrayMic/0332.wav,MC01,sender,sender
158,1500.0,TORGO/MC01/Session2/wav_arrayMic/0306.wav,MC01,court,court
159,3750.0,TORGO/MC01/Session2/wav_arrayMic/0295.wav,MC01,help celebrate your brother's success,help celebrate your brother's success
160,2250.0,TORGO/MC01/Session2/wav_arrayMic/0037.wav,MC01,golf,golf
161,4050.0,TORGO/MC01/Session2/wav_arrayMic/0054.wav,MC01,most young rise early every morning,most young rise early every morning
162,2100.0,TORGO/MC01/Session2/wav_arrayMic/0206.wav,MC01,eat,eat
163,1950.0,TORGO/MC01/Session2/wav_arrayMic/0272.wav,MC01,show,show
164,1650.0,TORGO/MC01/Session2/wav_arrayMic/0005.wav,MC01,sitting,sitting
165,1800.0,TORGO/MC01/Session2/wav_arrayMic/0064.wav,MC01,quicker,quicker
166,2250.0,TORGO/MC01/Session2/wav_arrayMic/0204.wav,MC01,bill,bill
167,2400.0,TORGO/MC01/Session2/wav_arrayMic/0044.wav,MC01,lare,lair
168,1800.0,TORGO/MC01/Session2/wav_arrayMic/0130.wav,MC01,sin,sin
169,1800.0,TORGO/MC01/Session2/wav_arrayMic/0284.wav,MC01,sure,chop
170,2250.0,TORGO/MC01/Session2/wav_arrayMic/0221.wav,MC01,meat,meat
171,2250.0,TORGO/MC01/Session2/wav_arrayMic/0269.wav,MC01,reef,reap
172,1800.0,TORGO/MC01/Session2/wav_arrayMic/0252.wav,MC01,gill,gill
173,1950.0,TORGO/MC01/Session2/wav_arrayMic/0273.wav,MC01,catch,catch
174,1800.0,TORGO/MC01/Session2/wav_arrayMic/0291.wav,MC01,red,rip
175,3000.0,TORGO/MC01/Session2/wav_arrayMic/0352.wav,MC01,gold can be found anywhere,gold can be found anywhere
176,1950.0,TORGO/MC01/Session2/wav_arrayMic/0335.wav,MC01,five,five
178,1950.0,TORGO/MC01/Session2/wav_arrayMic/0213.wav,MC01,sheep,sheep
179,3150.0,TORGO/MC01/Session2/wav_arrayMic/0018.wav,MC01,there is a tree house up above,there is a treehouse up above
180,5400.0,TORGO/MC01/Session2/wav_arrayMic/0256.wav,MC01,etiquette mandates compliance with existing regulations,etiquette mandates compliance with existing regulations
181,1350.0,TORGO/MC01/Session2/wav_arrayMic/0361.wav,MC01,one,one
182,1950.0,TORGO/MC01/Session2/wav_arrayMic/0166.wav,MC01,rock,rock
183,2100.0,TORGO/MC01/Session2/wav_arrayMic/0101.wav,MC01,two,two
184,1650.0,TORGO/MC01/Session2/wav_arrayMic/0019.wav,MC01,november,november
185,1500.0,TORGO/MC01/Session2/wav_arrayMic/0356.wav,MC01,renter,renter
186,3150.0,TORGO/MC01/Session2/wav_arrayMic/0179.wav,MC01,do they make any money,do they make any money
187,2700.0,TORGO/MC01/Session2/wav_arrayMic/0083.wav,MC01,sand,sand
188,2100.0,TORGO/MC01/Session2/wav_arrayMic/0258.wav,MC01,for,foe
189,2100.0,TORGO/MC01/Session2/wav_arrayMic/0211.wav,MC01,sketch,sketch
190,1800.0,TORGO/MC01/Session2/wav_arrayMic/0288.wav,MC01,cake,cake
191,1800.0,TORGO/MC01/Session2/wav_arrayMic/0090.wav,MC01,rest,rest
192,2550.0,TORGO/MC01/Session2/wav_arrayMic/0070.wav,MC01,shell,shell
193,1650.0,TORGO/MC01/Session2/wav_arrayMic/0230.wav,MC01,oh,hold
194,2100.0,TORGO/MC01/Session2/wav_arrayMic/0095.wav,MC01,whiskey,whisky
195,2550.0,TORGO/MC01/Session2/wav_arrayMic/0196.wav,MC01,sport,sport
196,3300.0,TORGO/MC01/Session2/wav_arrayMic/0193.wav,MC01,i think i'm full of this stuff,i think i'm full of this stuff
197,4800.0,TORGO/MC01/Session2/wav_arrayMic/0173.wav,MC01,stimulating discussions keep students attention,stimulating discussions keep students' attention
198,1950.0,TORGO/MC01/Session2/wav_arrayMic/0257.wav,MC01,goose,goose
199,2400.0,TORGO/MC01/Session2/wav_arrayMic/0178.wav,MC01,red,rid
200,2100.0,TORGO/MC01/Session2/wav_arrayMic/0046.wav,MC01,fine,sign
201,1950.0,TORGO/MC01/Session2/wav_arrayMic/0328.wav,MC01,knife,knife
202,3900.0,TORGO/MC01/Session2/wav_arrayMic/0333.wav,MC01,a fire in straw makes a quick blaze,a fire in straw makes a quick blaze
203,1950.0,TORGO/MC01/Session2/wav_arrayMic/0035.wav,MC01,seed,seed
204,4200.0,TORGO/MC01/Session2/wav_arrayMic/0157.wav,MC01,nobody really expects to evacuate,nobody really expects to evacuate
205,1800.0,TORGO/MC01/Session2/wav_arrayMic/0150.wav,MC01,nice,nice
206,2250.0,TORGO/MC01/Session2/wav_arrayMic/0042.wav,MC01,that,fat
207,4650.0,TORGO/MC01/Session2/wav_arrayMic/0241.wav,MC01,he played basketball there while working toward a law degree,he played basketball there while working toward a law degree
208,2250.0,TORGO/MC01/Session2/wav_arrayMic/0278.wav,MC01,looks,meats
209,2100.0,TORGO/MC01/Session2/wav_arrayMic/0185.wav,MC01,blend,blend
210,1800.0,TORGO/MC01/Session2/wav_arrayMic/0012.wav,MC01,side,side
211,4200.0,TORGO/MC01/Session2/wav_arrayMic/0067.wav,MC01,travel is about the only leisure we have,travel is about the only leisure we have
212,1800.0,TORGO/MC01/Session2/wav_arrayMic/0228.wav,MC01,menu,menu
213,4500.0,TORGO/MC01/Session2/wav_arrayMic/0359.wav,MC01,grandmother outgrew her upbringing petticoats,grandmother outgrew her upbringing in petticoats
214,2250.0,TORGO/MC01/Session2/wav_arrayMic/0251.wav,MC01,no,no
215,2250.0,TORGO/MC01/Session2/wav_arrayMic/0065.wav,MC01,sip,sip
216,4350.0,TORGO/MC01/Session2/wav_arrayMic/0192.wav,MC01,a quick touchdown resulted,a quick touchdown resulted
217,2100.0,TORGO/MC01/Session2/wav_arrayMic/0282.wav,MC01,port,port
218,1950.0,TORGO/MC01/Session2/wav_arrayMic/0294.wav,MC01,sure,shop
220,2400.0,TORGO/MC01/Session2/wav_arrayMic/0133.wav,MC01,ned,ned
221,2100.0,TORGO/MC01/Session2/wav_arrayMic/0268.wav,MC01,sheet,sheet
222,3900.0,TORGO/MC01/Session2/wav_arrayMic/0336.wav,MC01,she suggested we all have dinner together,she suggested we all have dinner together
223,2400.0,TORGO/MC01/Session2/wav_arrayMic/0055.wav,MC01,bed,bed
224,2250.0,TORGO/MC01/Session2/wav_arrayMic/0189.wav,MC01,leak,leak
225,1950.0,TORGO/MC01/Session2/wav_arrayMic/0100.wav,MC01,red,red
226,2250.0,TORGO/MC01/Session2/wav_arrayMic/0331.wav,MC01,forks,forks
227,1950.0,TORGO/MC01/Session2/wav_arrayMic/0183.wav,MC01,ray,ray
228,2100.0,TORGO/MC01/Session2/wav_arrayMic/0191.wav,MC01,red,thread
229,2400.0,TORGO/MC01/Session2/wav_arrayMic/0068.wav,MC01,sierra,sierra
230,2100.0,TORGO/MC01/Session2/wav_arrayMic/0231.wav,MC01,cakes,cakes
231,1950.0,TORGO/MC01/Session2/wav_arrayMic/0102.wav,MC01,bitter,bitter
232,1800.0,TORGO/MC01/Session2/wav_arrayMic/0262.wav,MC01,shred,shred
233,1650.0,TORGO/MC01/Session2/wav_arrayMic/0089.wav,MC01,rock,rock
234,1950.0,TORGO/MC01/Session2/wav_arrayMic/0264.wav,MC01,three,three
235,2100.0,TORGO/MC01/Session2/wav_arrayMic/0214.wav,MC01,tier,tear 
236,1800.0,TORGO/MC01/Session2/wav_arrayMic/0047.wav,MC01,shy,shy
237,1950.0,TORGO/MC01/Session2/wav_arrayMic/0299.wav,MC01,right,threat
238,1950.0,TORGO/MC01/Session2/wav_arrayMic/0129.wav,MC01,victor,victor
239,2400.0,TORGO/MC01/Session2/wav_arrayMic/0126.wav,MC01,feat,sheet
240,2100.0,TORGO/MC01/Session2/wav_arrayMic/0028.wav,MC01,quebec,quebec
241,3600.0,TORGO/MC01/Session2/wav_arrayMic/0118.wav,MC01,a good attitude is unbeatable,a good attitude is unbeatable
242,6000.0,TORGO/MC01/Session2/wav_arrayMic/0128.wav,MC01,the prospect of cutting back spending is an unpleasant one for any governor,the prospect of cutting back spending is an unpleasant one for any governor
243,1800.0,TORGO/MC01/Session2/wav_arrayMic/0053.wav,MC01,waft,left
244,3750.0,TORGO/MC01/Session2/wav_arrayMic/0075.wav,MC01,some hotels are available nearby,some hotels are available nearby
245,4050.0,TORGO/MC01/Session2/wav_arrayMic/0308.wav,MC01,some prefer the traditional steel kind,some prefer the traditional steel kind
246,1950.0,TORGO/MC01/Session2/wav_arrayMic/0174.wav,MC01,mark,muck
247,1800.0,TORGO/MC01/Session2/wav_arrayMic/0113.wav,MC01,no,no
248,4800.0,TORGO/MC01/Session2/wav_arrayMic/0137.wav,MC01,people who value themselves are life's winners,people who value themselves are life's winners
249,2550.0,TORGO/MC01/Session2/wav_arrayMic/0140.wav,MC01,send,sin
250,3750.0,TORGO/MC01/Session2/wav_arrayMic/0077.wav,MC01,being able to dance can help too,being able to dance can help too
251,3750.0,TORGO/MC01/Session2/wav_arrayMic/0360.wav,MC01,the golfing fathers ruled in his favor,the golfing fathers ruled in his favor
252,2250.0,TORGO/MC01/Session2/wav_arrayMic/0134.wav,MC01,litter,litter
253,1950.0,TORGO/MC01/Session2/wav_arrayMic/0301.wav,MC01,lip,lip
254,3900.0,TORGO/MC01/Session2/wav_arrayMic/0034.wav,MC01,the misguided souls have lost their way,the misguided souls have lost their way
255,1950.0,TORGO/MC01/Session2/wav_arrayMic/0334.wav,MC01,timber,timber
256,1800.0,TORGO/MC01/Session2/wav_arrayMic/0017.wav,MC01,week,leak
257,3450.0,TORGO/MC01/Session2/wav_arrayMic/0289.wav,MC01,who knows what you'll discover about yourself,who knows what you'll discover about yourself
258,4200.0,TORGO/MC01/Session2/wav_arrayMic/0346.wav,MC01,catastrophic economic cutbacks neglect the poor,catastrophic economic cutbacks neglect the poor
259,4350.0,TORGO/MC01/Session2/wav_arrayMic/0059.wav,MC01,the wait for work can be very long,the wait for work can be very long
260,3000.0,TORGO/MC01/Session2/wav_arrayMic/0343.wav,MC01,they will take a wedding trip together,they will take a wedding trip together
261,1950.0,TORGO/MC01/Session2/wav_arrayMic/0163.wav,MC01,sell,sell
262,1950.0,TORGO/MC01/Session2/wav_arrayMic/0016.wav,MC01,that,vat
263,2550.0,TORGO/MC01/Session2/wav_arrayMic/0050.wav,MC01,blow,blow
264,2250.0,TORGO/MC01/Session2/wav_arrayMic/0078.wav,MC01,meet,neat
265,2250.0,TORGO/MC01/Session2/wav_arrayMic/0080.wav,MC01,ah,up
266,2100.0,TORGO/MC01/Session2/wav_arrayMic/0259.wav,MC01,shot,shot
267,2400.0,TORGO/MC01/Session2/wav_arrayMic/0121.wav,MC01,x ray,xray
268,4050.0,TORGO/MC01/Session2/wav_arrayMic/0106.wav,MC01,each one volunteered to jump first,each one volunteered to jump first
269,2400.0,TORGO/MC01/Session2/wav_arrayMic/0063.wav,MC01,sink,sink
270,1800.0,TORGO/MC01/Session2/wav_arrayMic/0232.wav,MC01,in,in
271,2100.0,TORGO/MC01/Session2/wav_arrayMic/0321.wav,MC01,shed,shed
272,3900.0,TORGO/MC01/Session2/wav_arrayMic/0293.wav,MC01,the four brothers looked identical,the four brothers looked identical
273,2250.0,TORGO/MC01/Session2/wav_arrayMic/0026.wav,MC01,brought,brought
274,1950.0,TORGO/MC01/Session2/wav_arrayMic/0250.wav,MC01,much,much
275,1800.0,TORGO/MC01/Session2/wav_arrayMic/0322.wav,MC01,port,pork
276,4200.0,TORGO/MC01/Session2/wav_arrayMic/0057.wav,MC01,the owners regularly look for plumbing leaks,the owners regularly look for plumbing leaks
277,1950.0,TORGO/MC01/Session2/wav_arrayMic/0249.wav,MC01,rake,rake
278,2250.0,TORGO/MC01/Session2/wav_arrayMic/0141.wav,MC01,romeo,romeo
279,4650.0,TORGO/MC01/Session2/wav_arrayMic/0122.wav,MC01,although always alone we survive,although always alone we survive
280,2100.0,TORGO/MC01/Session2/wav_arrayMic/0114.wav,MC01,which,witch
281,1200.0,TORGO/MC01/Session2/wav_arrayMic/0073.wav,MC01,and,a
282,3300.0,TORGO/MC01/Session2/wav_arrayMic/0079.wav,MC01,we have an excellent team,we have an excellent team
283,1800.0,TORGO/MC01/Session2/wav_arrayMic/0001.wav,MC01,echo,echo
284,2400.0,TORGO/MC01/Session2/wav_arrayMic/0116.wav,MC01,endoftext,in
